,Entity,Code,Year,Average annual hours worked by persons engaged (hours per person engaged)
68,Australia,AUS,1950,2178.2456
69,Australia,AUS,1951,2158.1013
70,Australia,AUS,1952,2138.1436
71,Australia,AUS,1953,2118.3701
72,Australia,AUS,1954,2098.7798
73,Australia,AUS,1955,2079.3704
74,Australia,AUS,1956,2060.1406
75,Australia,AUS,1957,2041.0886
76,Australia,AUS,1958,2022.2129
77,Australia,AUS,1959,2003.5116
78,Australia,AUS,1960,1984.9834
79,Australia,AUS,1961,1981.3214
80,Australia,AUS,1962,1977.6663
81,Australia,AUS,1963,1974.0178
82,Australia,AUS,1964,1970.3761
83,Australia,AUS,1965,1966.7411
84,Australia,AUS,1966,1963.1128
85,Australia,AUS,1967,1959.4912
86,Australia,AUS,1968,1955.8762
87,Australia,AUS,1969,1952.2679
88,Australia,AUS,1970,1948.6664
89,Australia,AUS,1971,1929.967
90,Australia,AUS,1972,1909.5677
91,Australia,AUS,1973,1896.1807
92,Australia,AUS,1974,1913.4988
93,Australia,AUS,1975,1900.2179999999998
94,Australia,AUS,1976,1910.6301
95,Australia,AUS,1977,1912.4364
96,Australia,AUS,1978,1913.2864
97,Australia,AUS,1979,1918.705
98,Australia,AUS,1980,1919.1102
99,Australia,AUS,1981,1900.6442
100,Australia,AUS,1982,1881.5066
101,Australia,AUS,1983,1869.0269
102,Australia,AUS,1984,1883.6864
103,Australia,AUS,1985,1870.23
104,Australia,AUS,1986,1880.6699
105,Australia,AUS,1987,1877.5311
106,Australia,AUS,1988,1874.5796
107,Australia,AUS,1989,1887.2697
108,Australia,AUS,1990,1867.9515
109,Australia,AUS,1991,1853.8984
110,Australia,AUS,1992,1851.8408
111,Australia,AUS,1993,1869.6207
112,Australia,AUS,1994,1877.7278
113,Australia,AUS,1995,1875.9148
114,Australia,AUS,1996,1868.7593
115,Australia,AUS,1997,1867.0762
116,Australia,AUS,1998,1851.2338
117,Australia,AUS,1999,1855.8291
118,Australia,AUS,2000,1854.0353
119,Australia,AUS,2001,1818.213
120,Australia,AUS,2002,1814.1021
121,Australia,AUS,2003,1806.7209
122,Australia,AUS,2004,1805.0198
123,Australia,AUS,2005,1803.0101
124,Australia,AUS,2006,1791.9933
125,Australia,AUS,2007,1792.6515
126,Australia,AUS,2008,1790.54
127,Australia,AUS,2009,1761.7957
128,Australia,AUS,2010,1769.3094
129,Australia,AUS,2011,1768.6494
130,Australia,AUS,2012,1759.5193
131,Australia,AUS,2013,1755.8271
132,Australia,AUS,2014,1747.9370000000001
133,Australia,AUS,2015,1747.009
134,Australia,AUS,2016,1734.215
135,Australia,AUS,2017,1731.4943
331,Brazil,BRA,1950,2042.0
332,Brazil,BRA,1951,2051.0186
333,Brazil,BRA,1952,2060.0771
334,Brazil,BRA,1953,2069.1755
335,Brazil,BRA,1954,2078.3142
336,Brazil,BRA,1955,2087.4932
337,Brazil,BRA,1956,2096.7129
338,Brazil,BRA,1957,2105.9731
339,Brazil,BRA,1958,2115.2742
340,Brazil,BRA,1959,2124.6165
341,Brazil,BRA,1960,2134.0
342,Brazil,BRA,1961,2135.0974
343,Brazil,BRA,1962,2136.1956
344,Brazil,BRA,1963,2137.2939
345,Brazil,BRA,1964,2138.3933
346,Brazil,BRA,1965,2139.4929
347,Brazil,BRA,1966,2140.5933
348,Brazil,BRA,1967,2141.6941
349,Brazil,BRA,1968,2142.7954
350,Brazil,BRA,1969,2143.8975
351,Brazil,BRA,1970,2145.0
352,Brazil,BRA,1971,2128.5408
353,Brazil,BRA,1972,2112.2078
354,Brazil,BRA,1973,2096.0
355,Brazil,BRA,1974,2079.7708
356,Brazil,BRA,1975,2063.667
357,Brazil,BRA,1976,2047.6881
358,Brazil,BRA,1977,2031.8329
359,Brazil,BRA,1978,2016.1005
360,Brazil,BRA,1979,2000.4897
361,Brazil,BRA,1980,1985.0
362,Brazil,BRA,1981,1974.0968
363,Brazil,BRA,1982,1963.2535
364,Brazil,BRA,1983,1952.4698
365,Brazil,BRA,1984,1941.7454
366,Brazil,BRA,1985,1931.0797
367,Brazil,BRA,1986,1920.4728
368,Brazil,BRA,1987,1909.924
369,Brazil,BRA,1988,1899.4332
