,Entity,Code,Year,Working hours (hours per person engaged),GDP per capita (int.-$) (constant 2011 international $),Unnamed: 5
2392,Australia,AUS,1950.0,2178.2456,0.0,8177000.0
2393,Australia,AUS,1951.0,2158.1013,0.0,8398000.0
2394,Australia,AUS,1952.0,2138.1436,0.0,8595000.0
2395,Australia,AUS,1953.0,2118.3701,0.0,8782000.0
2396,Australia,AUS,1954.0,2098.7798,0.0,8970000.0
2397,Australia,AUS,1955.0,2079.3704,0.0,9166000.0
2398,Australia,AUS,1956.0,2060.1406,0.0,9372000.0
2399,Australia,AUS,1957.0,2041.0886,0.0,9587000.0
2400,Australia,AUS,1958.0,2022.2129,0.0,9809000.0
2401,Australia,AUS,1959.0,2003.5116,0.0,10029000.0
2402,Australia,AUS,1960.0,1984.9834,0.0,10242000.0
2403,Australia,AUS,1961.0,1981.3214,0.0,10446000.0
2404,Australia,AUS,1962.0,1977.6663,0.0,10643000.0
2405,Australia,AUS,1963.0,1974.0178,0.0,10845000.0
2406,Australia,AUS,1964.0,1970.3761,0.0,11065000.0
2407,Australia,AUS,1965.0,1966.7411,0.0,11313000.0
2408,Australia,AUS,1966.0,1963.1128,0.0,11593000.0
2409,Australia,AUS,1967.0,1959.4912,0.0,11900000.0
2410,Australia,AUS,1968.0,1955.8762,0.0,12216000.0
2411,Australia,AUS,1969.0,1952.2679,0.0,12519000.0
2412,Australia,AUS,1970.0,1948.6664,0.0,12793000.0
2413,Australia,AUS,1971.0,1929.967,0.0,13033000.0
2414,Australia,AUS,1972.0,1909.5677,0.0,13244000.0
2415,Australia,AUS,1973.0,1896.1807,0.0,13432000.0
2416,Australia,AUS,1974.0,1913.4988,0.0,13606000.0
2417,Australia,AUS,1975.0,1900.2179999999998,0.0,13773000.0
2418,Australia,AUS,1976.0,1910.6301,0.0,13936000.0
2419,Australia,AUS,1977.0,1912.4364,0.0,14093000.0
2420,Australia,AUS,1978.0,1913.2864,0.0,14249000.0
2421,Australia,AUS,1979.0,1918.705,0.0,14413000.0
2422,Australia,AUS,1980.0,1919.1102,0.0,14588000.0
2423,Australia,AUS,1981.0,1900.6442,0.0,14777000.0
2424,Australia,AUS,1982.0,1881.5066,0.0,14979000.0
2425,Australia,AUS,1983.0,1869.0269,0.0,15195000.0
2426,Australia,AUS,1984.0,1883.6864,0.0,15423000.0
2427,Australia,AUS,1985.0,1870.23,0.0,15664000.0
2428,Australia,AUS,1986.0,1880.6699,0.0,15918000.0
2429,Australia,AUS,1987.0,1877.5311,0.0,16183000.0
2430,Australia,AUS,1988.0,1874.5796,0.0,16452000.0
2431,Australia,AUS,1989.0,1887.2697,0.0,16714000.0
2432,Australia,AUS,1990.0,1867.9515,28658.365889999997,16961000.0
2433,Australia,AUS,1991.0,1853.8984,28185.7529,17189000.0
2434,Australia,AUS,1992.0,1851.8408,27969.06612,17402000.0
2435,Australia,AUS,1993.0,1869.6207,28815.46298,17603000.0
2436,Australia,AUS,1994.0,1877.7278,29646.41927,17799000.0
2437,Australia,AUS,1995.0,1875.9148,30412.07805,17993000.0
2438,Australia,AUS,1996.0,1868.7593,31179.30787,18189000.0
2439,Australia,AUS,1997.0,1867.0762,32055.385060000004,18387000.0
2440,Australia,AUS,1998.0,1851.2338,33174.90765,18587000.0
2441,Australia,AUS,1999.0,1855.8291,34443.866180000005,18788000.0
2442,Australia,AUS,2000.0,1854.0353,35377.72955,18991000.0
2443,Australia,AUS,2001.0,1818.213,35578.64207,19195000.0
2444,Australia,AUS,2002.0,1814.1021,36553.96461,19401000.0
2445,Australia,AUS,2003.0,1806.7209,37183.68457,19624000.0
2446,Australia,AUS,2004.0,1805.0198,38225.69371,19880000.0
2447,Australia,AUS,2005.0,1803.0101,38928.04076,20179000.0
2448,Australia,AUS,2006.0,1791.9933,39445.13292,20526000.0
2449,Australia,AUS,2007.0,1792.6515,40680.18963,20916000.0
2450,Australia,AUS,2008.0,1790.54,41331.527969999996,21332000.0
2451,Australia,AUS,2009.0,1761.7957,41266.86638,21751000.0
2452,Australia,AUS,2010.0,1769.3094,41464.040069999995,22155000.0
2453,Australia,AUS,2011.0,1768.6494,41894.17305,22538000.0
2454,Australia,AUS,2012.0,1759.5193,42754.456289999995,22904000.0
2455,Australia,AUS,2013.0,1755.8271,43118.08613,23255000.0
2456,Australia,AUS,2014.0,1747.9370000000001,43547.19748,23596000.0
2457,Australia,AUS,2015.0,1747.009,43923.25827,23932000.0
2458,Australia,AUS,2016.0,1734.215,44493.48089,24263000.0
2459,Australia,AUS,2017.0,1731.4943,44648.709910000005,24585000.0
2460,Australia,AUS,2018.0,0.0,0.0,24898000.0
2461,Australia,AUS,2019.0,0.0,0.0,25203000.0
5832,Brazil,BRA,1950.0,2042.0,0.0,53975000.0
5833,Brazil,BRA,1951.0,2051.0186,0.0,55606000.0
5834,Brazil,BRA,1952.0,2060.0771,0.0,57284000.0
5835,Brazil,BRA,1953.0,2069.1755,0.0,58999000.0
5836,Brazil,BRA,1954.0,2078.3142,0.0,60749000.0
5837,Brazil,BRA,1955.0,2087.4932,0.0,62534000.0
5838,Brazil,BRA,1956.0,2096.7129,0.0,64356000.0
5839,Brazil,BRA,1957.0,2105.9731,0.0,66221000.0
5840,Brazil,BRA,1958.0,2115.2742,0.0,68140000.0
5841,Brazil,BRA,1959.0,2124.6165,0.0,70123000.0
5842,Brazil,BRA,1960.0,2134.0,0.0,72179000.0
5843,Brazil,BRA,1961.0,2135.0974,0.0,74311000.0
5844,Brazil,BRA,1962.0,2136.1956,0.0,76514000.0
5845,Brazil,BRA,1963.0,2137.2939,0.0,78773000.0
5846,Brazil,BRA,1964.0,2138.3933,0.0,81065000.0
5847,Brazil,BRA,1965.0,2139.4929,0.0,83374000.0
5848,Brazil,BRA,1966.0,2140.5933,0.0,85697000.0
5849,Brazil,BRA,1967.0,2141.6941,0.0,88036000.0
5850,Brazil,BRA,1968.0,2142.7954,0.0,90387000.0
5851,Brazil,BRA,1969.0,2143.8975,0.0,92747000.0
5852,Brazil,BRA,1970.0,2145.0,0.0,95113000.0
5853,Brazil,BRA,1971.0,2128.5408,0.0,97483000.0
