,Entity,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
308,Australia,AUS,1990,18.077892000000002
309,Australia,AUS,1991,18.14026016
310,Australia,AUS,1992,18.195548600000002
311,Australia,AUS,1993,18.24613467
312,Australia,AUS,1994,18.2796626
313,Australia,AUS,1995,18.29040706
314,Australia,AUS,1996,18.28986197
315,Australia,AUS,1997,18.27660714
316,Australia,AUS,1998,18.25996386
317,Australia,AUS,1999,18.25701935
318,Australia,AUS,2000,18.2703315
319,Australia,AUS,2001,18.33404057
320,Australia,AUS,2002,18.44297512
321,Australia,AUS,2003,18.57419003
322,Australia,AUS,2004,18.68146437
323,Australia,AUS,2005,18.73061622
324,Australia,AUS,2006,18.73321477
325,Australia,AUS,2007,18.70987327
326,Australia,AUS,2008,18.67694963
327,Australia,AUS,2009,18.64235421
328,Australia,AUS,2010,18.61856749
329,Australia,AUS,2011,18.59867545
330,Australia,AUS,2012,18.57734194
331,Australia,AUS,2013,18.54141874
332,Australia,AUS,2014,18.50908965
333,Australia,AUS,2015,18.46708267
334,Australia,AUS,2016,18.42484435
335,Australia,AUS,2017,18.38128344
756,Brazil,BRA,1990,14.2402715
757,Brazil,BRA,1991,14.22277688
758,Brazil,BRA,1992,14.217471
759,Brazil,BRA,1993,14.22105449
760,Brazil,BRA,1994,14.22971001
761,Brazil,BRA,1995,14.24189868
762,Brazil,BRA,1996,14.33697864
763,Brazil,BRA,1997,14.55050336
764,Brazil,BRA,1998,14.80860566
765,Brazil,BRA,1999,15.037849
766,Brazil,BRA,2000,15.1699726
767,Brazil,BRA,2001,15.23376454
768,Brazil,BRA,2002,15.298428699999999
769,Brazil,BRA,2003,15.35492953
770,Brazil,BRA,2004,15.39352993
771,Brazil,BRA,2005,15.40353615
772,Brazil,BRA,2006,15.3563081
773,Brazil,BRA,2007,15.25010041
774,Brazil,BRA,2008,15.11896897
775,Brazil,BRA,2009,14.99678495
776,Brazil,BRA,2010,14.91687367
777,Brazil,BRA,2011,14.86689356
778,Brazil,BRA,2012,14.81298349
779,Brazil,BRA,2013,14.75373132
780,Brazil,BRA,2014,14.69214889
781,Brazil,BRA,2015,14.631417800000001
782,Brazil,BRA,2016,14.57108457
783,Brazil,BRA,2017,14.51284946
1260,China,CHN,1990,11.49770565
1261,China,CHN,1991,11.520989199999999
1262,China,CHN,1992,11.54219275
1263,China,CHN,1993,11.56004553
1264,China,CHN,1994,11.57145592
1265,China,CHN,1995,11.57434256
1266,China,CHN,1996,11.58267227
1267,China,CHN,1997,11.60557333
1268,China,CHN,1998,11.63240308
1269,China,CHN,1999,11.65238933
1270,China,CHN,2000,11.65656499
1271,China,CHN,2001,11.64428673
1272,China,CHN,2002,11.62520863
1273,China,CHN,2003,11.60209965
1274,China,CHN,2004,11.58059515
1275,China,CHN,2005,11.56197419
1276,China,CHN,2006,11.55553515
1277,China,CHN,2007,11.56066117
1278,China,CHN,2008,11.57124502
1279,China,CHN,2009,11.57782854
1280,China,CHN,2010,11.57224698
1281,China,CHN,2011,11.55716939
1282,China,CHN,2012,11.53917551
1283,China,CHN,2013,11.517263
1284,China,CHN,2014,11.49155339
1285,China,CHN,2015,11.46239989
1286,China,CHN,2016,11.43094235
1287,China,CHN,2017,11.39650062
3668,Mexico,MEX,1990,10.43235692
3669,Mexico,MEX,1991,10.45375795
3670,Mexico,MEX,1992,10.47417471
3671,Mexico,MEX,1993,10.49526449
3672,Mexico,MEX,1994,10.51179053
3673,Mexico,MEX,1995,10.52401816
3674,Mexico,MEX,1996,10.53764214
3675,Mexico,MEX,1997,10.55681396
3676,Mexico,MEX,1998,10.58018103
3677,Mexico,MEX,1999,10.60651585
3678,Mexico,MEX,2000,10.63248228
3679,Mexico,MEX,2001,10.66831343
3680,Mexico,MEX,2002,10.71707766
3681,Mexico,MEX,2003,10.76811033
3682,Mexico,MEX,2004,10.81129784
3683,Mexico,MEX,2005,10.83581253
3684,Mexico,MEX,2006,10.83963994
3685,Mexico,MEX,2007,10.83180109
3686,Mexico,MEX,2008,10.81981845
3687,Mexico,MEX,2009,10.80730117
3688,Mexico,MEX,2010,10.80245176
3689,Mexico,MEX,2011,10.80484719
3690,Mexico,MEX,2012,10.81025739
3691,Mexico,MEX,2013,10.81844526
3692,Mexico,MEX,2014,10.82870113
3693,Mexico,MEX,2015,10.84033309
3694,Mexico,MEX,2016,10.85419278
3695,Mexico,MEX,2017,10.86971038
4088,Nigeria,NGA,1990,12.06431127
4089,Nigeria,NGA,1991,12.04374673
4090,Nigeria,NGA,1992,12.02899718
4091,Nigeria,NGA,1993,12.02150974
4092,Nigeria,NGA,1994,12.01659081
4093,Nigeria,NGA,1995,12.01456029
4094,Nigeria,NGA,1996,12.0287572
4095,Nigeria,NGA,1997,12.07079444
4096,Nigeria,NGA,1998,12.11609223
4097,Nigeria,NGA,1999,12.15823419
4098,Nigeria,NGA,2000,12.17520433
4099,Nigeria,NGA,2001,12.17031907
4100,Nigeria,NGA,2002,12.1612244
4101,Nigeria,NGA,2003,12.144716800000001
4102,Nigeria,NGA,2004,12.13598015
4103,Nigeria,NGA,2005,12.13212188
4104,Nigeria,NGA,2006,12.14683339
4105,Nigeria,NGA,2007,12.17792473
4106,Nigeria,NGA,2008,12.21053595
4107,Nigeria,NGA,2009,12.24231756
4108,Nigeria,NGA,2010,12.2549359
4109,Nigeria,NGA,2011,12.24826555
4110,Nigeria,NGA,2012,12.23020225
4111,Nigeria,NGA,2013,12.19535997
4112,Nigeria,NGA,2014,12.15388619
4113,Nigeria,NGA,2015,12.09346984
4114,Nigeria,NGA,2016,12.02775927
4115,Nigeria,NGA,2017,11.94850558
4536,Poland,POL,1990,10.96054023
4537,Poland,POL,1991,10.97862624
4538,Poland,POL,1992,10.99397705
4539,Poland,POL,1993,11.00376899
4540,Poland,POL,1994,11.01403967
4541,Poland,POL,1995,11.01678755
4542,Poland,POL,1996,11.02079479
