,Entity,Code,Year,Work hours per persons engaged,Productivity
0,Australia,AUS,1950.0,2178.2456,13.322768
1,Australia,AUS,1951.0,2158.1013,12.820562
2,Australia,AUS,1952.0,2138.1436,12.497678
3,Australia,AUS,1953.0,2118.3701,14.030226999999998
4,Australia,AUS,1954.0,2098.7798,14.992547
5,Australia,AUS,1955.0,2079.3704,15.641343
6,Australia,AUS,1956.0,2060.1406,15.745474
7,Australia,AUS,1957.0,2041.0886,15.792577
8,Australia,AUS,1958.0,2022.2129,17.090656
9,Australia,AUS,1959.0,2003.5116,18.153866
10,Australia,AUS,1960.0,1984.9834,18.05427
11,Australia,AUS,1961.0,1981.3214,18.552853
12,Australia,AUS,1962.0,1977.6663,19.15642
13,Australia,AUS,1963.0,1974.0178,19.981464000000006
14,Australia,AUS,1964.0,1970.3761,20.298876
15,Australia,AUS,1965.0,1966.7411,19.985029
16,Australia,AUS,1966.0,1963.1128,20.664099
17,Australia,AUS,1967.0,1959.4912,20.986965
18,Australia,AUS,1968.0,1955.8762,22.093000000000004
19,Australia,AUS,1969.0,1952.2679,23.179087
20,Australia,AUS,1970.0,1948.6664,23.250698
21,Australia,AUS,1971.0,1929.967,23.88142
22,Australia,AUS,1972.0,1909.5677,24.58086
23,Australia,AUS,1973.0,1896.1807,25.215528
24,Australia,AUS,1974.0,1913.4988,23.592522
25,Australia,AUS,1975.0,1900.218,24.323568
26,Australia,AUS,1976.0,1910.6301,24.920927
27,Australia,AUS,1977.0,1912.4364,25.126692
28,Australia,AUS,1978.0,1913.2864,26.238943
29,Australia,AUS,1979.0,1918.705,26.66614
30,Australia,AUS,1980.0,1919.1102,26.848894
31,Australia,AUS,1981.0,1900.6442,28.003149
32,Australia,AUS,1982.0,1881.5066,27.646475
33,Australia,AUS,1983.0,1869.0269,29.969896
34,Australia,AUS,1984.0,1883.6864,29.874096
35,Australia,AUS,1985.0,1870.23,29.848671000000003
36,Australia,AUS,1986.0,1880.6699,29.151663
37,Australia,AUS,1987.0,1877.5311,30.814905
38,Australia,AUS,1988.0,1874.5796,31.502882
39,Australia,AUS,1989.0,1887.2697,31.221367
40,Australia,AUS,1990.0,1867.9515,31.074718
41,Australia,AUS,1991.0,1853.8984,31.9223
42,Australia,AUS,1992.0,1851.8408,33.419811
43,Australia,AUS,1993.0,1869.6207,34.155190000000005
44,Australia,AUS,1994.0,1877.7278,34.381001
45,Australia,AUS,1995.0,1875.9148,34.892288
46,Australia,AUS,1996.0,1868.7593,36.566433
47,Australia,AUS,1997.0,1867.0762,38.199703
48,Australia,AUS,1998.0,1851.2338,39.136868
49,Australia,AUS,1999.0,1855.8291,40.284904
50,Australia,AUS,2000.0,1854.0353,40.52187
51,Australia,AUS,2001.0,1818.213,42.122478
52,Australia,AUS,2002.0,1814.1021,42.412212
53,Australia,AUS,2003.0,1806.7209,43.462162
54,Australia,AUS,2004.0,1805.0198,44.333633
55,Australia,AUS,2005.0,1803.0101,45.976162
56,Australia,AUS,2006.0,1791.9933,46.081429
57,Australia,AUS,2007.0,1792.6515,45.908466
58,Australia,AUS,2008.0,1790.54,47.30357
59,Australia,AUS,2009.0,1761.7957,47.501831
60,Australia,AUS,2010.0,1769.3094,50.50304000000001
61,Australia,AUS,2011.0,1768.6494,52.322773
62,Australia,AUS,2012.0,1759.5193,52.50305600000001
63,Australia,AUS,2013.0,1755.8271,53.549725
64,Australia,AUS,2014.0,1747.937,54.28088
65,Australia,AUS,2015.0,1747.009,51.537594
66,Australia,AUS,2016.0,1734.215,54.122646
67,Australia,AUS,2017.0,1731.4943,54.59094200000001
70,Brazil,BRA,1950.0,2042.0,2.0183465
71,Brazil,BRA,1951.0,2051.0186,2.0136688
72,Brazil,BRA,1952.0,2060.0771,2.1577322
73,Brazil,BRA,1953.0,2069.1755,2.1518674
74,Brazil,BRA,1954.0,2078.3142,2.2624547
75,Brazil,BRA,1955.0,2087.4932,2.3556316
76,Brazil,BRA,1956.0,2096.7129,2.3613508
77,Brazil,BRA,1957.0,2105.9731,2.4894896
78,Brazil,BRA,1958.0,2115.2742,2.5451198
79,Brazil,BRA,1959.0,2124.6165,2.5776834
80,Brazil,BRA,1960.0,2134.0,2.7296708
81,Brazil,BRA,1961.0,2135.0974,3.0353971
82,Brazil,BRA,1962.0,2136.1956,3.1873901
83,Brazil,BRA,1963.0,2137.2939,3.3214586
84,Brazil,BRA,1964.0,2138.3933,3.3864095
85,Brazil,BRA,1965.0,2139.4929,3.5131247
86,Brazil,BRA,1966.0,2140.5933,3.5909734
87,Brazil,BRA,1967.0,2141.6941,3.7938762
88,Brazil,BRA,1968.0,2142.7954,4.0813117
89,Brazil,BRA,1969.0,2143.8975,4.0495768
90,Brazil,BRA,1970.0,2145.0,4.485799299999999
91,Brazil,BRA,1971.0,2128.5408,4.8023939
92,Brazil,BRA,1972.0,2112.2078,5.1513901
93,Brazil,BRA,1973.0,2096.0,5.2654266
94,Brazil,BRA,1974.0,2079.7708,5.6428123
95,Brazil,BRA,1975.0,2063.667,5.7889414000000015
96,Brazil,BRA,1976.0,2047.6881,6.1752005
97,Brazil,BRA,1977.0,2031.8329,5.8081079
98,Brazil,BRA,1978.0,2016.1005,5.9049830000000005
99,Brazil,BRA,1979.0,2000.4897,6.4813375
100,Brazil,BRA,1980.0,1985.0,6.6202435
101,Brazil,BRA,1981.0,1974.0968,6.6234407000000015
102,Brazil,BRA,1982.0,1963.2535,6.4661374
103,Brazil,BRA,1983.0,1952.4698,6.3414092
104,Brazil,BRA,1984.0,1941.7454,6.3196597
105,Brazil,BRA,1985.0,1931.0797,6.2176189000000015
106,Brazil,BRA,1986.0,1920.4728,6.9551373
107,Brazil,BRA,1987.0,1909.924,6.981236900000002
108,Brazil,BRA,1988.0,1899.4332,6.8414459
109,Brazil,BRA,1989.0,1889.0,6.890220599999999
110,Brazil,BRA,1990.0,1879.0,6.5807037
111,Brazil,BRA,1991.0,1868.4705,7.207055099999999
112,Brazil,BRA,1992.0,1858.0,7.4406695
113,Brazil,BRA,1993.0,1858.9998,7.9495263
114,Brazil,BRA,1994.0,1860.0,8.8503571
115,Brazil,BRA,1995.0,1855.2317,10.196321
116,Brazil,BRA,1996.0,1850.4756,12.525192
117,Brazil,BRA,1997.0,1845.7317,11.974554
118,Brazil,BRA,1998.0,1841.0,11.557292
119,Brazil,BRA,1999.0,1813.8428,10.752215
120,Brazil,BRA,2000.0,1837.927,10.44435
121,Brazil,BRA,2001.0,1828.3264,10.375819
122,Brazil,BRA,2002.0,1818.7257,10.113252
123,Brazil,BRA,2003.0,1811.1825,9.9569731
124,Brazil,BRA,2004.0,1803.1261,10.033028
125,Brazil,BRA,2005.0,1783.1312,10.218953
126,Brazil,BRA,2006.0,1778.7123,10.876312
127,Brazil,BRA,2007.0,1781.6913,11.895355
128,Brazil,BRA,2008.0,1784.6703,13.056262
129,Brazil,BRA,2009.0,1779.3353,13.475542
130,Brazil,BRA,2010.0,1779.5791,15.366799
131,Brazil,BRA,2011.0,1773.1746,16.950859
132,Brazil,BRA,2012.0,1766.77,16.957285
133,Brazil,BRA,2013.0,1755.6323,17.148948999999998
134,Brazil,BRA,2014.0,1739.4747,16.800144
135,Brazil,BRA,2015.0,1709.4856,16.322032999999998
136,Brazil,BRA,2016.0,1709.4856,16.182266000000002
137,Brazil,BRA,2017.0,1709.4856,16.340326
160,China,CHN,1970.0,1976.312,1.6174201
161,China,CHN,1971.0,1975.7937,1.6632441000000002
