,Country,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score,Average Happiness
0,Sweden,7.364,7.291,7.28399991989136,7.314,7.343,7.319199983978272
1,Australia,7.284,7.313,7.28399991989136,7.272,7.228,7.276199983978271
2,Mexico,7.187,6.778,6.57800006866455,6.4879999999999995,6.595,6.725200013732911
3,United States,7.119,7.104,6.993000030517581,6.886,6.892,6.998800006103517
4,Brazil,6.983,6.952000000000001,6.6350002288818395,6.419,6.3,6.6578000457763675
5,Venezuela,6.81,6.084,5.25,4.806,4.707,5.5314
6,South Korea,5.984,5.835,5.837999820709231,5.875,5.895,5.885399964141846
7,Poland,5.791,5.835,5.97300004959106,6.122999999999999,6.182,5.980800009918212
8,Russia,5.716,5.856,5.962999820709231,5.81,5.648,5.798599964141846
9,Nigeria,5.268,4.875,5.07399988174438,5.155,5.265,5.127399976348877
10,China,5.14,5.245,5.2729997634887695,5.246,5.191,5.218999952697754
11,South Africa,4.6419999999999995,4.459,4.8289999961853,4.724,4.7219999999999995,4.67519999923706
